Title,Transcription,Sentiment
A Strange Fact about Clifden · An Clochán (B) · Bailiúchán na Scol | dúchas.ie,time black fortyseven famine raging utmost people clifden surrounding district dig big grave bury corps think dug grave place curate house built twenty yard away school wonderful thing catholic church piece land day,-0.5994
Waterboat · An Clochán (B) · The Schools' Collection | dúchas.ie,long time ago four men got drowned going slyne head boat went called waterboat five pound note found drowning several people got drowned near slyne head waterboat found mile place drowning,-0.8316
Waterboat · An Clochán (B) · Bailiúchán na Scol | dúchas.ie,long time ago four men got drowned going slyne head boat went called waterboat five pound note found drowning several people got drowned near slyne head waterboat found mile place drowning,-0.8316
The Famine · Cloigeann · Bailiúchán na Scol | dúchas.ie,year famine potato rotted ground people nothing else eat failed died road field lived long time root used dig ground coffin people died box hinches bottom would come grave used open bottom let person drop grave way one coffin people,-0.8956
The Cleggan Disaster · Nead an Iolraigh · The Schools' Collection | dúchas.ie,dreadful cleggan disaster happened october evening day wet wind south east towards evening wind went sw grew calm dark misty fog though sharper weather observer said might blow agreed pointbut indication mere earthly order spiritual nature lacking extent boffin crew four left boffin horbour saw another boat following crew three surprised crew quay leftthe following boat came great speed detoured distance first boat passed way crew four could recognise others sped along passed way crew four cold recognise others sped along cannon leader,0.34
A Story · Maigh Ard · Bailiúchán na Scol | dúchas.ie,lived man far village beside atlantic ocean pat name one day fishing canoe three men storm arose smooth blue sea became sea great big wave foam spray soon monstrous wave lifted canoe threw occupant sea pat one able swim one man drowned immediately caught one man hand mouth swam two men shore neighbour shore help one rescued men unconscous breath,0.836
An Drochshaol · Leitre · The Schools' Collection | dúchas.ie,year famine people died want food crop grow used fall dead side roadside hunger potato crop growing blight came crop potato crop failed year failed three year one another people dying hunger last year famine people small,-0.9477
Famine · Fleasgach · Bailiúchán na Scol | dúchas.ie,vicinity flaskagh two people died hunger famine people want bury searched martin land could carry corps weak hunger buried body farm people potato eat ate boiled nettle meal shook seed following year dug soil see could get potato left,-0.8625
Folklore - The Famine · Fleasgach · Bailiúchán na Scol | dúchas.ie,people cappa dunmore time famine potato grow people around went england america three old ruin house cappa three house knocked family america people ate bread instead potato next year ploughed land get potato road made around people died hunger plague,-0.8555
Folklore · Fleasgach · Bailiúchán na Scol | dúchas.ie,folklore lot people die time famine died hunger hard work lived dip water salt dinner plate yellow meal stirabout supperwriter bridie powerparkroeflaskaghteller patk powersame place,-0.872
Folklore - Famine · Fleasgach · The Schools' Collection | dúchas.ie,october thfolklorefamineall crop failed oat pulled root men paid per day road making one man died hunger making new kiltevna potato small seed shaken instead stuck foreign stuff allowed country weed called samsogue eaten people,-0.8807
Games · Fleasgach · Bailiúchán na Scol | dúchas.ie,october thfolklorefamineall crop failed oat pulled root men paid per day road making one man died hunger making new kiltevna potato small seed shaken instead stuck foreign stuff allowed country weed called samsogue eaten people,-0.8807
Famine Folklore · Fleasgach · The Schools' Collection | dúchas.ie,october thfolklorefamineall crop failed oat pulled root men paid per day road making one man died hunger making new kiltevna potato small seed shaken instead stuck foreign stuff allowed country weed called samsogue eaten people,-0.8807
Folklore - Famine · Fleasgach · Bailiúchán na Scol | dúchas.ie,folklore faminelong ago people died hunger hardly tea time used make bread oatenmeal time jacket used wear banies made flannon lamp kind oil light bog deal used cut piece people turn hold one piece handstellers mr mary mannionflaskaghwriter josephine mannionflaskagh,-0.5106
Famine · Fleasgach · Bailiúchán na Scol | dúchas.ie,famineall potato rotted year famine know spray blight fell burned stalk people dying hunger people used die field working used die road side used able carry graveyard used bury field people,-0.9001
Famine · Fleasgach · Bailiúchán na Scol | dúchas.ie,famine great hunger country time famine people managed get seed following year digging soil oat grew previous year people got seed foreign country lot people die famine people lived oatmeal time famine many people die time buried fieldswriter mary rafteryclougherballinloughco roscommonteller matthew rafteryclougherballinloughco roscommon,-0.6908
Famine Times · Feilm · Bailiúchán na Scol | dúchas.ie,trasscríofa ag duine dár meitheal trasscríbhneoirí deonachastairathraigh,0.0
Famine Times · Poll Réamoinn (Cailíní) · Bailiúchán na Scol | dúchas.ie,first sign po famine failure potato crop blight came good crop stalk potato district thickly populated ruin house still remains people live porridge many people died roadside people way mass sunday eat green raw vegetable hunger famine time funeral many people attended hungry ate full garden cabbage near later allowance made poor school child got cake cake called gataí government relief reached district also,-0.9382
Famine Times · Poll Réamoinn (Cailíní) · The Schools' Collection | dúchas.ie,first sign po famine failure potato crop blight came good crop stalk potato district thickly populated ruin house still remains people live porridge many people died roadside people way mass sunday eat green raw vegetable hunger famine time funeral many people attended hungry ate full garden cabbage near later allowance made poor school child got cake cake called gataí government relief reached district also,-0.9382
Famine Times · Poll Réamoinn (Cailíní) · Bailiúchán na Scol | dúchas.ie,famine many people buried uncoffined townland cloomahara three people supposed top hill one winter night man village coming home visiting saw many light said people buried light could see eating drinking three following night saw thing since never seen,0.2023
Famine Times · Baile an Churraigh · The Schools' Collection | dúchas.ie,famine timeswhen potato dug good one picked small one bad one kept seed yielded bad crop following yearindian meal almost food obtainable government relief given area people died fence left unburied caused disease fever,-0.6808
Famine Times · Baile an Churraigh · The Schools' Collection | dúchas.ie,famine time district ofballincurry cloonfaughna thickly populated famine came died fence day dayso many people died day coffin could provided people alive weak dig graf dead people rolled heavy clothes thrown ditch big farm clooncagh people used real hungry used gather night steal turnip farm,-0.9432
Famine · Baile an Churraigh · The Schools' Collection | dúchas.ie,faminethe potato rotted soil part indian meal used government relief given people people died roadside never buried caused disease time cloonfaughna thickly populated famine died one one funeral plentiful coffin could secured half people instead wrapped blanket,-0.5994
The Famine Times · Tobar Rua · The Schools' Collection | dúchas.ie,famine timesthe famine district caused failure potato crop old man told said famine sent punishment god people year famine potato grew well well indeed people could use left decay pit next year however blight destroyed whole crop one night farmer awoke found stalk leaf withered blackened frost impossible june,-0.7964
The Famine Times · Tobar Rua · The Schools' Collection | dúchas.ie,famine timesthe famine district caused failure potato crop old man told famine said sent punishment god people year happened potato grew well well indeed people could use left decay pit next year however blight destroyed whole crop one night farmer awoke found stalk leaf withered blackened frost impossible month june anybody potato sow following year awarded fine crop people died hunger course half starved relative able bury properly graveyard filled overflowing many buried roadside field poor house work house also filled people turned away die roadside disease spread famine die starvation died disease many people buried along keelogues road,-0.9826
Famine Times · Cill Cruain (C) · Bailiúchán na Scol | dúchas.ie,village tubbermakee near ballintubber thickly populated village eighteen house one house left famine people evicted homesthere certain house young man dead land lord came threw house boardthe people left curse supposed seen haunting place deathsthere another poor widow near donamon co roscommon land lord came evict child pot indian porridge boiling fire asked leave would boiled took pot threw threw houseafter death seen pot,-0.9545
Famine Times · Cill Cruain (C) · Bailiúchán na Scol | dúchas.ie,people ate green vegetable could procure oat meal gruel oat mean cake swoidín flummery much butter used butter packed firkin sold ballintubber ballaghaderrinewe told people died roadside hunger woman two daughter making way friend co galway came ballymoe pound gate one daughter staggered fell feed blackberry stumbled fall two daughter found roadside dead mother struggled reached friend dying state,-0.6705
The Bad Times · Naomh Seosamh (Buachaillí) · The Schools' Collection | dúchas.ie,lot people living around time famine potato rotted pitsthe people used take eye potato scatter like catsthe people nothing else used eat neltles corn used eat itthey got little help foreign country terrible lot people diedthere scarcity food since year,0.204
