Title,Transcription,Sentiment,Sentiment_Label,Model_Sentiment,Sentiment_Polarity
An Drochshaol · Fearainn an Choirce · The Schools' Collection | dúchas.ie,tá níos mó daoine gort gcapall anois bhí indiadh aimsire gorta san mbliadhain fuair leór aca bás am sin hocras tháinig dubh fataibh san talamhbhí bean gaillimh darbh ainm mrs seary bhí comhluadar aice bhí fear básuighthe bhí ingean léi america bhíodh cur airgid máthair bhíodh mháthair tabhairt raibh aice uaithe deire raibh aici acht mhac amháin taréis tamaill cailleadh sin freisin domhnach amháin chuaidh aifrionn éigin tháinig abhaile cailleadh féin ocras tamall dhiaidh sin,-5.0,0,0,-4.5170231960717
An Drochshaol · Fearainn an Choirce · Bailiúchán na Scol | dúchas.ie,drochshaoghalluigh drochshaoghal mór gceanntar seo fataí phríomhbheatha bhí daoiníbh lobhadar sin béigin dóibh maireachtáil bhiadh cladaigh fuair cuid mhór daoine bás ocras bhfiabhras dubh bhrigh sin bhí bhfad níos mó daoine san áit seo fadó tá anois áiteachaibh chuir fear bhean sheachtar cloinne bhfiabhras dublobh fataí nuair bhíodar fás spréitheadh cuid desna garrdhantaibh huaire soláthar fataí minic lobh fataí shoin acht lobh oiread lobh bhliadhain sin bhrígh sin raibh biadh gann ariamh shoin,2.0,2,0,-2.633695201708977
An Drochshaol · Fearainn an Choirce · The Schools' Collection | dúchas.ie,nuair bhí drochshaoghal ann fadó loic fataí beagnach chuile áit tá sin tuairim chéad bliadhan shoin cuireadh fataí tháinig barranaí aníos tháinig dubhachán ortha maidin amháin nuair déirigh daoine dairugheadar boladh bhí barrainaíbh tharla sin tuairim lál tsin seain tháinig bhliadhain sin dona thánig gorta tinneas daoiníbh cailleadh cuid daoiníbh acht mhair corrdhuine séard sheas dóibh sin biadh chladaigh bhídís ithe báirneacha sleabhcháin creathnaigh faochan carraigín bhruichidís báirnigh chuiridís min bhuidhe rúgh bhliadhain dhiadh sin chuireadar fataí darbh ainm regions fuair tighearna talamhna darbh ainm major fair dfhás maith leor raibh bhfad médughadh san ithir cheann cúpla bliadhan bhí ndóthain fataí bidh acu raibh ghorta ariamh bhí dona,-5.0,0,0,-1.4750938611217492
An Ghorta Mhór · Carnán · The Schools' Collection | dúchas.ie,ghorta mhórsan am fadó gheibheadh daoine bás thaobh bhóthair am gorta móire nuair dhubhadh fataí tá áit inaice theac dtugtar seanbhaile beag air bhí leor tighthe ann san tsean aimsir caileadh leor daoine bliadain gorta ocras méid díobh fhan beo sgapadar raibh ann háitreacha choingeál cíos rátaí íocdéirigh rud céadna ngleann eile áit dtugann gleann hóige air inaice baile gráinse dimthig daoine áit sin freisean níl turaisc cé ndeachadar cé bhfuil ballaí arda dtigte seasamh fós,-5.0,0,0,-1.1918203095809652
Stoirm · Béal an Átha Buí (Clochar) · The Schools' Collection | dúchas.ie,bhí bad caillte san gceanntar seo fadó timcheall lé ceathrú míle theach bhí bád teacht isteach san gcuan bhí oidhche ann nuair bhí teacht chuaidh charraig thuit daoine amach san bhfáirge báthadh aca fear bean tomás conroigh sean búrca seán mac mathghamhna bean bheal braonán shabháil aca seán raghaille mháthair seán conroigh cuireadh comhartha gcarraig nár báthadh daoinemuncail dinnis sgéal seo dom,1.0,2,0,-3.1612768183299442
Stoirm · Béal an Átha Buí (Clochar) · The Schools' Collection | dúchas.ie,cruadhtán bhí bád caillte san gceanntar seo fadó timcheall lé ceathrú míle theach bhí bád teacht san gcuan bhí oidhce nuair bhí teacht chuaidh charraigh thuit daoine amach san bhfáirge báthadh aca – fear bean ’ tomas conroigh seán búrca seán mach mathghamhna bean bheal braonáin shábháil aca ‘ seán raghaille mháthair seán conroigh cuireadh comhartha gcarraigh ‘ nár báthadh daoinemicheál ’ conroigh cuan mbád clochán m ’ áthair d ’ innis sgéal seo dom,3.0,2,0,-1.6052624035979473
An Drochshaol sa Cheantar · Doire Mór Iata · The Schools' Collection | dúchas.ie,tá timceall cead bliadhain bhí gorta mór néireannní raibh tada níthe daoine bhí fágháilbháis ocras tart bhí marbú coíniníagus bhí oiread sin ocras ortha raibh ám acú íada bruith d ’ iosfhadh síad fuar mórán bíd bíodh acú achtfataí chuirfidis oidhce amháin tháinig stoirm mór agusscuabadh fud cnuic tháinig duibheachán orthafreisin bhí dearbhráthár ann san uair sin tá fhios gurcailleadh duine acú iomchar dearbhráthár eilego uaigh raibh conra ann uair sin agusfuair síad cúpla malaí chuir ualach sgrathacha ionntachuir duine caillte istigh málaí rinne andearbhráthár eile uaigh féin bhí cinnte mbéadh séféin caillte gceann seachtmhaine ocras bíodh daoineag ithe fear coirce sórt solas bíodh acú ruinne duisidhemar raibh coinneál fagháil no cabhair uairbionn fiodog rúinne súithche cuimilte dhe bíodh leacaibhmóra siodheachán acú codlaidis clocha argabail féir mhillfaidís coirce leach déanfhidíscáca coirce raibh moín teine dhéanamhbíodh síad tirmughadh puiteach sgratacha beaga cun teinea deanamh bídís ithe leathar craicne beithidhigh bhíodh nadaoine ann bocht fad bíodh síad fághail brúran minebuidhe raibh plúr lé fághul bhídís leanamhuintcoiníní giarrfiadh gcur isteach scailp,-5.0,0,0,-2.2624636941547345
Droichead Inis Ní · Inis Niadh · The Schools' Collection | dúchas.ie,rinneadh droichéad mbliadhan roimhe sin raibh bealach lé dul amachacht mbádbhí mathair obair droichead lá amháinbhí lán báid dhaoine dul trasna bhíbeirt fear dtalamh thosuigh agcaitheadh clocaí diompuigh bád báthadhgach duine acu acht triúirníor báthadh mathair sábháil fear eile shoini leith deirtear bhfuil sidheóga droiceadbhí mathair obair gcloch rón uair amháinmaidin amháin dul amach agusbhí fear mór mbóthar céadmaidin eile bhí ann arís tríomhadhmaidin bhí fear eile fhacha tada,5.0,2,0,-2.4559055179333824
An Drochshaol · Cashel · The Schools' Collection | dúchas.ie,luigh drocshaoghal trom annseo cáilleadh níos mó leath daoine timcheall cheanntair seo tam sin faobhras chailleadh cuid mó aca luibhenimhe dítheadar tá áiteacha ann bhfuil fothracha seandteach mbíodh daoine gcomnuidhe sul dtáinic drochshaoghal nár mhaireadar tríd raibh móran daoinibh óga dul lear tam sin raibh daoinibh gabhaltais beaga talmhan fátaibh bhí daoine máireachtáil tam sin nuair dtáinic dubachán orthabhíodar réidh raibh tada faghail san siopaíbh minbuidhe gheibhidís sin fhéin airgead duine mbeadh fataí cabáiste turnapaí fás aige bheadh faire ortha oidhche ármtha clocaibh máidí bíodh daoine raibh tada aca ghá ngoid bhíodh trúir caillte chuile lá beagnach baineadh daoine poll annsin chaitheamh síos ann conrá bith lá amháin bhí deichneabhar chur,-2.0,0,0,-3.080492246690123
An Drochshaol · Ballinafad · Bailiúchán na Scol | dúchas.ie,transcribed by member of our volunteer transcription projecthistoryedit,0.0,1,1,-0.5446283724435242
