Title,Transcription
A Strange Fact about Clifden · An Clochán (B) · Bailiúchán na Scol | dúchas.ie,"The time of Black Fortyseven when the Famine was raging at its utmost, the people of Clifden and the surrounding districts had to dig up a big grave to bury the corpses and where do you think they dug the grave but in the place where the Curates house is built. It is only about twenty yards away from this school. The most wonderful thing about it is that the Catholic Church own that very piece of land to this very day."
Waterboat · An Clochán (B) · The Schools' Collection | dúchas.ie,A long time ago four men got drowned going to Slyne Head. The boat they went in was called the Waterboat. A five pound note was found after the drowning. Several other people got drowned near Slyne Head. The Waterboat was found 2 miles from the place of the drowning.
Waterboat · An Clochán (B) · Bailiúchán na Scol | dúchas.ie,A long time ago four men got drowned going to Slyne Head. The boat they went in was called the Waterboat. A five pound note was found after the drowning. Several other people got drowned near Slyne Head. The Waterboat was found 2 miles from the place of the drowning.
The Famine · Cloigeann · Bailiúchán na Scol | dúchas.ie,During the years of the famine the potatoes rotted in the ground. The people had nothing else to eat and when this failed they died here and there on roads and in fields. Some lived a long time on a root they used to dig out of the ground. There were no coffins but on the people that died. They had a box with hinches on the bottom and when they would come to the grave they used to open the bottom and let the person drop into the grave. In that way the one coffin did all the people.
The Cleggan Disaster · Nead an Iolraigh · The Schools' Collection | dúchas.ie,The dreadful Cleggan disaster happened on an October evening in 1927. The day had been wet with a wind from the South East. Towards evening the wind went S.W and it grew calm. There was a dark misty fog. Though the sharper weather observers said it might blow all were not agreed on the point.But if indications of a mere earthly order were few those of a spiritual nature were not lacking to the same extent. As a Boffin crew of four left Boffin horbour they saw another boat following them with a crew of three. They were surprised at this as there was no crew at the quay when they left.The following boat came at great speed but it detoured so that it was at some distance from the first boat as it passed on it's way. The crew of four could not recognise the others as they sped along it passed on it's way. The crew of four cold not recognise the others as they sped along. Cannon the leader of
A Story · Maigh Ard · Bailiúchán na Scol | dúchas.ie,"There lived a man once not very far from here in a village beside the Atlantic Ocean. Pat was his name. One day he was fishing in a canoe with three other men. After a while a storm arose and the smooth blue sea became a sea of great big waves and foam and spray. Soon a monstrous wave lifted the canoe and threw the occupants into the sea. Pat was the only one able to swim, one man was drowned immediately but he caught one man in his hand, the other with his mouth. Then he swam with the two men to the shore. There were neighbours on the shore to help him in. One of the rescued men were unconscous and himself was out of breath."
An Drochshaol · Leitre · The Schools' Collection | dúchas.ie,In the year of the famine the most of the people died for want of food. Their crops did not grow and they used to fall dead on the side of the road-side with hunger. When the potato crop was growing the blight came on the crop. The potato crop failed on that year. It failed three years after one another. The people were dying with hunger. The last year of the famine the people had only very small
Famine · Fleasgach · Bailiúchán na Scol | dúchas.ie,In the vicinity of Flaskagh two people died of hunger during the famine and the people want to bury them. When they searched Martins land they could not carry the corpses any further because they were weak with the hunger. They buried the bodies in the farm. When the people had no potatoes to eat they ate boiled nettles and meal shook on them. When they had no seed  the following year they dug up the soil to see could they get any potatoes left.
Folklore - The Famine · Fleasgach · Bailiúchán na Scol | dúchas.ie,"There were people in Cappa, Dunmore in the time of the famine. The potatoes did not grow and some of the people around her went to England and America. There are three old ruins of houses in Cappa. The three houses are knocked and the families are in America. People ate bread instead of potatoes and next year they ploughed up the land to get some potatoes. The roads were made around. People died both of hunger and plague."
Folklore · Fleasgach · Bailiúchán na Scol | dúchas.ie,Folklore 4:10:'38There did a lot of people die in the time of the famine they died of hunger and hard work.  They lived on a dip of water and salt for there dinner and a plate of yellow meal stirabout for their supper.Writer: Bridie PowerParkroeFlaskaghTeller: Patk Powersame place
